勘定科目属性,勘定科目コード,勘定科目名,ｶﾅ索引,勘定科目正式名,貸借区分,借方税区分コード,借方税区分名,貸方税区分コード,貸方税区分名,関連科目コード,関連科目名,表示区分,消費税自動計算,消費税端数処理,固定費変動費区分,固定費割合,簡易課税業種,取引先入力,内訳書の設定
11110010,111,現金,ｹﾞﾝｷﾝ,現金,1,0,対象外,0,対象外,,,1,0,9,0,0,1,,
11110020,112,小口現金,ｺｸﾞﾁｹ,小口現金,1,0,対象外,0,対象外,,,1,0,9,0,0,1,,
11111010,121,当座預金,ﾄｳｻﾞﾖ,当座預金,1,0,対象外,0,対象外,,,1,0,9,0,0,1,,
11111020,131,普通預金,ﾌﾂｳﾖｷ,普通預金,1,0,対象外,0,対象外,,,1,0,9,0,0,1,,
11120020,152,売掛金,ｳﾘｶｹｷ,売掛金,1,0,対象外,0,対象外,,,1,9,9,0,0,1,,
27002090,726,旅費交通費,ﾘｮﾋｺｳ,旅費交通費,1,Q5,仕入10%,Q5,仕入10%,,,1,2,0,2,0,1,,
27002170,727,通信費,ﾂｳｼﾝﾋ,通信費,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,2,0,1,,
27002140,733,交際接待費,ｺｳｻｲｾ,交際接待費,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,2,0,1,,
21100010,511,売上高,ｳﾘｱｹﾞ,売上高,2,B5,売上10%,B5,売上10%,,,1,9,9,3,0,1,,
12110020,312,買掛金,ｶｲｶｹｷ,買掛金,2,0,対象外,0,対象外,,,1,9,9,0,0,1,,
